title_year,country_USA,Language_English,color,duration,aspect_ratio,director_100,actor_1_name_100,actor_1_facebook_likes,actor_2_name_100,actor_2_facebook_likes,actor_3_name_100,actor_3_facebook_likes,cast_total_facebook_likes,main_stream,Comedy,Thriller,Biography,History,War,Crime,Romance,Animation,Horror,Western,Family,Documentary,Drama,Sport,Sci-Fi,Adventure,Music,Mystery,Action,Fantasy,Musical,Genre_Others,budget_corrected,gross_world,Profit
2009.0,1,1,Color,178.0,2.117572378716745,1,0,1000.0,0,936.0,0,855.0,4834,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,237000000.0,2847246203,2610246203.0
2007.0,1,1,Color,169.0,2.39,0,1,40000.0,0,5000.0,0,1000.0,48350,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,300000000.0,960996492,660996492.0
2015.0,0,1,Color,148.0,2.39,0,1,11000.0,0,393.0,0,161.0,11700,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,245000000.0,880681519,635681519.0
2012.0,1,1,Color,164.0,2.39,1,0,27000.0,1,23000.0,0,23000.0,106759,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,250000000.0,1081142612,831142612.0
2012.0,1,1,Color,132.0,2.35,0,0,640.0,0,632.0,0,530.0,1873,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,250000000.0,284139100,34139100.0
2007.0,1,1,Color,156.0,2.39,0,0,24000.0,0,11000.0,0,4000.0,46055,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,258000000.0,894983373,636983373.0
2007.0,1,1,Color,156.0,2.39,0,0,24000.0,0,11000.0,0,4000.0,46055,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,258000000.0,894983373,636983373.0
2010.0,1,1,Color,100.0,1.85,0,0,799.0,0,553.0,0,284.0,2036,21,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,260000000.0,592462816,332462816.0
2015.0,1,1,Color,141.0,2.39,0,0,26000.0,1,21000.0,0,19000.0,92000,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,250000000.0,1402809540,1152809540.0
2009.0,0,1,Color,153.0,2.39,0,1,25000.0,0,11000.0,0,10000.0,58753,297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,250000000.0,934454096,684454096.0
2016.0,1,1,Color,183.0,2.39,0,0,15000.0,0,4000.0,0,2000.0,24450,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,250000000.0,873637528,623637528.0
2006.0,1,1,Color,169.0,2.35,0,1,18000.0,1,10000.0,0,903.0,29991,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,270000000.0,391081192,121081192.0
2008.0,0,1,Color,106.0,2.39,0,0,451.0,0,412.0,0,393.0,2023,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,200000000.0,589580482,389580482.0
2006.0,1,1,Color,151.0,2.39,0,1,40000.0,0,5000.0,0,1000.0,48486,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,225000000.0,1066179747,841179747.0
2013.0,1,1,Color,150.0,2.39,0,1,40000.0,0,2000.0,0,1000.0,45757,123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,215000000.0,260502115,45502115.0
2013.0,1,1,Color,143.0,2.35,0,0,15000.0,0,3000.0,0,748.0,20495,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,225000000.0,668045518,443045518.0
2008.0,1,1,Color,150.0,2.39,0,0,22000.0,0,216.0,0,201.0,22697,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,225000000.0,419665568,194665568.0
2012.0,1,1,Color,173.0,1.85,0,0,26000.0,1,21000.0,0,19000.0,87697,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,220000000.0,1518815515,1298815515.0
2011.0,1,1,Color,136.0,2.39,0,1,40000.0,0,11000.0,0,1000.0,54083,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,250000000.0,1045713802,795713802.0
2012.0,1,1,Color,106.0,1.85,0,1,10000.0,0,816.0,0,718.0,12572,167,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,225000000.0,624026776,399026776.0
2014.0,0,1,Color,164.0,2.35,0,0,5000.0,0,972.0,0,773.0,9152,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,250000000.0,962182865,712182865.0
2012.0,1,1,Color,153.0,2.39,0,0,15000.0,0,10000.0,0,963.0,28489,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,230000000.0,757930663,527930663.0
2010.0,1,1,Color,156.0,2.39,1,0,891.0,0,882.0,0,738.0,3244,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,200000000.0,321669741,121669741.0
2013.0,1,1,Color,186.0,2.35,0,0,5000.0,0,972.0,0,773.0,9152,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,225000000.0,959007513,734007513.0
2007.0,1,1,Color,113.0,2.35,0,0,16000.0,0,6000.0,0,1000.0,24106,248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,180000000.0,372234864,192234864.0
2005.0,0,1,Color,201.0,2.39,0,0,6000.0,0,919.0,0,84.0,7123,71,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,207000000.0,556906378,349906378.0
2005.0,0,1,Color,201.0,2.39,0,0,6000.0,0,918.0,0,84.0,7122,71,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,207000000.0,556906378,349906378.0
2005.0,0,1,Color,201.0,2.39,0,0,6000.0,0,918.0,0,84.0,7122,71,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,207000000.0,556906378,349906378.0
1997.0,1,1,Color,194.0,2.39,1,1,29000.0,0,14000.0,0,794.0,45223,241,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000.0,2201647264,2001647264.0
2016.0,1,1,Color,147.0,2.39,0,1,21000.0,0,19000.0,0,11000.0,64798,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,250000000.0,1153337496,903337496.0
2012.0,1,1,Color,131.0,2.39,0,1,14000.0,0,10000.0,0,627.0,26679,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,209000000.0,303025485,94025485.0
2015.0,1,1,Color,124.0,2.0,0,0,3000.0,0,2000.0,0,1000.0,8458,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,150000000.0,1670516444,1520516444.0
2012.0,0,1,Color,143.0,2.39,0,1,883.0,0,563.0,0,393.0,2039,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,200000000.0,1108569499,908569499.0
2012.0,0,1,Color,143.0,2.39,0,1,883.0,0,563.0,0,393.0,2039,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,200000000.0,1108569499,908569499.0
2004.0,1,1,Color,135.0,2.39,0,0,24000.0,0,11000.0,0,4000.0,43388,221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,200000000.0,788976453,588976453.0
2013.0,1,1,Color,195.0,2.39,0,1,21000.0,0,4000.0,1,3000.0,30426,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,200000000.0,1214811252,1014811252.0
2010.0,1,1,Color,108.0,1.85,0,1,40000.0,1,25000.0,0,11000.0,79957,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,200000000.0,1025468216,825468216.0
2010.0,1,1,Color,108.0,1.85,0,1,40000.0,1,25000.0,0,11000.0,79957,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,200000000.0,1025468216,825468216.0
2006.0,0,1,Color,104.0,2.39,0,1,20000.0,0,808.0,0,560.0,21714,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,210000000.0,460435291,250435291.0
2013.0,1,1,Color,104.0,1.85,0,0,12000.0,0,779.0,0,760.0,14863,56,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,200000000.0,743559645,543559645.0
2009.0,1,1,Color,150.0,2.39,0,0,894.0,0,581.0,0,464.0,3218,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,200000000.0,836303693,636303693.0
2014.0,1,1,Color,165.0,2.39,0,0,974.0,0,956.0,0,808.0,3988,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,210000000.0,1104054072,894054072.0
2013.0,1,1,Color,130.0,2.39,0,0,44000.0,0,15000.0,0,11000.0,73441,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,215000000.0,493311825,278311825.0
2013.0,1,1,Color,130.0,2.39,0,0,44000.0,0,15000.0,0,11000.0,73441,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,215000000.0,493311825,278311825.0
2014.0,1,1,Color,142.0,2.39,0,0,15000.0,0,10000.0,0,825.0,28631,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,200000000.0,708982323,508982323.0
2010.0,1,1,Color,125.0,2.39,0,1,12000.0,0,10000.0,0,1000.0,25550,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,170000000.0,400063852,230063852.0
2010.0,1,1,Color,125.0,2.39,0,1,12000.0,0,10000.0,0,1000.0,25549,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,170000000.0,400063852,230063852.0
2011.0,1,1,Color,106.0,2.39,0,0,1000.0,0,919.0,0,776.0,4482,106,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,200000000.0,559852396,359852396.0
2011.0,1,1,Color,123.0,2.35,0,0,16000.0,0,368.0,0,326.0,17657,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,200000000.0,219851172,19851172.0
2010.0,1,1,Color,103.0,1.78,0,1,15000.0,0,1000.0,0,721.0,19085,112,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,200000000.0,1066970811,866970811.0
2009.0,1,1,Color,118.0,2.35,0,1,23000.0,0,3000.0,0,988.0,27468,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,200000000.0,371353001,171353001.0
2015.0,1,1,Color,140.0,2.39,0,0,26000.0,0,23000.0,0,14000.0,79150,162,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,190000000.0,1515341399,1325341399.0
2013.0,1,1,Color,123.0,2.39,0,0,17000.0,1,11000.0,0,1000.0,32392,42,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,190000000.0,540455876,350455876.0
2014.0,1,1,Color,149.0,2.39,0,0,34000.0,0,22000.0,1,20000.0,91434,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,200000000.0,746045700,546045700.0
2013.0,1,1,Color,132.0,2.39,0,0,19000.0,0,981.0,0,928.0,21411,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,190000000.0,467365246,277365246.0
