link,title_year,budget,country,ExchangeRate
https://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,1989,"A$10,000,000 (estimated)",Australia,0.7919
https://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,1997,"A$16,000,000 (estimated)",USA,0.7437
https://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,2006,"A$11,400,000 (estimated)",Australia,0.7535
https://www.imdb.com/title/tt0382765/?ref_=fn_tt_tt_1,2006,"A$15,000,000 (estimated)",Australia,0.7535
https://www.imdb.com/title/tt0816556/?ref_=fn_tt_tt_1,2008,"A$1,400,000 (estimated)",Australia,0.8537
https://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,2009,"A$6,500,000 (estimated)",Australia,0.7927
https://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,2010,"A$8,140,500 (estimated)",Australia,0.92
https://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,2011,"A$8,500,000 (estimated)",Australia,1.0332
https://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,2012,"A$30,000,000 (estimated)",Australia,1.0359
https://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,1985,"CA$1,750,000 (estimated)",Canada,1.3659
https://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,1994,"CA$2,000,000 (estimated)",Canada,1.3664
https://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,1997,"CA$365,000 (estimated)",Canada,1.3849
https://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,1997,"CA$5,000,000 (estimated)",Canada,1.3849
https://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,2000,"CA$20,000,000 (estimated)",UK,1.4855
https://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,2000,"CA$20,000,000 (estimated)",UK,1.4855
https://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,2003,"CA$3,200,000 (estimated)",Canada,1.4008
https://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,2003,"CA$5,000,000 (estimated)",Canada,1.4008
https://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,2003,"CA$6,000,000 (estimated)",Canada,1.4008
https://www.imdb.com/title/tt0313300/?ref_=fn_tt_tt_1,2004,"CA$12,500,000 (estimated)",Canada,1.3017
https://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,2004,"CA$6,000,000 (estimated)",Canada,1.3017
https://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,2005,"CA$1,500,000 (estimated)",India,1.2115
https://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,2005,"CA$500,000 (estimated)",Canada,1.2115
https://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,2006,"CA$8,000,000 (estimated)",Canada,1.134
https://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,2007,"CA$5,000,000 (estimated)",Canada,1.0734
https://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,2010,"CA$1,100,000 (estimated)",Canada,1.0298
https://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,2011,"CA$1,200,000 (estimated)",Canada,0.9887
https://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,2011,"CA$100,000 (estimated)",Canada,0.9887
https://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,2012,"CA$1,500,000 (estimated)",Canada,0.9995
https://www.imdb.com/title/tt2099556/?ref_=fn_tt_tt_1,2012,"CA$3,200,000 (estimated)",Canada,0.9995
https://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,2012,"CA$4,000,000 (estimated)",Canada,0.9995
https://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,2004,"CN´100,000,000 (estimated)",China,0.12081964
https://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,2008,"CN´553,632,000 (estimated)",China,0.143932524
https://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,2009,"CN´15,000,000 (estimated)",China,0.14639788
